Handle,Title,Body HTML,Published,Published Scope,Template Suffix,Sort Order,Image Src,Image Alt Text,SEO Title,SEO Description
manufacturing-equipment,Manufacturing Equipment,<p>Industrial manufacturing machinery and equipment for production facilities</p>,TRUE,web,,best-selling,,Manufacturing Equipment,Manufacturing Equipment | Machinist Industrial Supply,Industrial manufacturing machinery and equipment for production facilities
cnc-machines,CNC Machines,<p>Computer numerical control machines for precision manufacturing</p>,TRUE,web,,best-selling,,CNC Machines,CNC Machines | Manufacturing Equipment | Machinist Industrial Supply,Computer numerical control machines for precision manufacturing
lathes-mills,Lathes & Mills,<p>Metalworking lathes and milling machines</p>,TRUE,web,,best-selling,,Lathes & Mills,Lathes & Mills | Manufacturing Equipment | Machinist Industrial Supply,Metalworking lathes and milling machines
presses-stamping,Presses & Stamping,<p>Hydraulic and mechanical presses for metal forming</p>,TRUE,web,,best-selling,,Presses & Stamping,Presses & Stamping | Manufacturing Equipment | Machinist Industrial Supply,Hydraulic and mechanical presses for metal forming
welding-equipment,Welding Equipment,<p>Industrial welding machines and accessories</p>,TRUE,web,,best-selling,,Welding Equipment,Welding Equipment | Manufacturing Equipment | Machinist Industrial Supply,Industrial welding machines and accessories
assembly-systems,Assembly Systems,<p>Automated assembly line equipment and robotics</p>,TRUE,web,,best-selling,,Assembly Systems,Assembly Systems | Manufacturing Equipment | Machinist Industrial Supply,Automated assembly line equipment and robotics
industrial-equipment,Industrial Equipment,<p>Heavy-duty equipment for industrial operations and facilities</p>,TRUE,web,,best-selling,,Industrial Equipment,Industrial Equipment | Machinist Industrial Supply,Heavy-duty equipment for industrial operations and facilities
generators-power,Generators & Power,<p>Industrial generators and power distribution equipment</p>,TRUE,web,,best-selling,,Generators & Power,Generators & Power | Industrial Equipment | Machinist Industrial Supply,Industrial generators and power distribution equipment
air-compressors,Air Compressors,<p>Industrial air compressors and pneumatic systems</p>,TRUE,web,,best-selling,,Air Compressors,Air Compressors | Industrial Equipment | Machinist Industrial Supply,Industrial air compressors and pneumatic systems
material-handling,Material Handling,"<p>Forklifts, conveyors, and material transport equipment</p>",TRUE,web,,best-selling,,Material Handling,Material Handling | Industrial Equipment | Machinist Industrial Supply,"Forklifts, conveyors, and material transport equipment"
hvac-systems,HVAC Systems,"<p>Industrial heating, ventilation, and air conditioning</p>",TRUE,web,,best-selling,,HVAC Systems,HVAC Systems | Industrial Equipment | Machinist Industrial Supply,"Industrial heating, ventilation, and air conditioning"
pumps-hydraulics,Pumps & Hydraulics,<p>Industrial pumps and hydraulic systems</p>,TRUE,web,,best-selling,,Pumps & Hydraulics,Pumps & Hydraulics | Industrial Equipment | Machinist Industrial Supply,Industrial pumps and hydraulic systems
professional-tools,Professional Tools,<p>High-quality professional tools for industrial applications</p>,TRUE,web,,best-selling,,Professional Tools,Professional Tools | Machinist Industrial Supply,High-quality professional tools for industrial applications
power-tools,Power Tools,<p>Professional-grade electric and pneumatic power tools</p>,TRUE,web,,best-selling,,Power Tools,Power Tools | Professional Tools | Machinist Industrial Supply,Professional-grade electric and pneumatic power tools
hand-tools,Hand Tools,<p>Precision hand tools and manual equipment</p>,TRUE,web,,best-selling,,Hand Tools,Hand Tools | Professional Tools | Machinist Industrial Supply,Precision hand tools and manual equipment
measuring-equipment,Measuring Equipment,<p>Precision measuring and calibration instruments</p>,TRUE,web,,best-selling,,Measuring Equipment,Measuring Equipment | Professional Tools | Machinist Industrial Supply,Precision measuring and calibration instruments
cutting-tools,Cutting Tools,"<p>Industrial cutting tools, bits, and blades</p>",TRUE,web,,best-selling,,Cutting Tools,Cutting Tools | Professional Tools | Machinist Industrial Supply,"Industrial cutting tools, bits, and blades"
tool-storage,Tool Storage,"<p>Professional tool chests, cabinets, and organization</p>",TRUE,web,,best-selling,,Tool Storage,Tool Storage | Professional Tools | Machinist Industrial Supply,"Professional tool chests, cabinets, and organization"
safety-equipment,Safety Equipment,<p>Industrial safety equipment and personal protective gear</p>,TRUE,web,,best-selling,,Safety Equipment,Safety Equipment | Machinist Industrial Supply,Industrial safety equipment and personal protective gear
personal-protective-equipment,PPE,<p>Personal protective equipment for workplace safety</p>,TRUE,web,,best-selling,,PPE,PPE | Safety Equipment | Machinist Industrial Supply,Personal protective equipment for workplace safety
fall-protection,Fall Protection,"<p>Harnesses, lanyards, and fall arrest systems</p>",TRUE,web,,best-selling,,Fall Protection,Fall Protection | Safety Equipment | Machinist Industrial Supply,"Harnesses, lanyards, and fall arrest systems"
respiratory-protection,Respiratory Protection,"<p>Respirators, masks, and breathing apparatus</p>",TRUE,web,,best-selling,,Respiratory Protection,Respiratory Protection | Safety Equipment | Machinist Industrial Supply,"Respirators, masks, and breathing apparatus"
safety-barriers,Safety Barriers,"<p>Guards, barriers, and protective enclosures</p>",TRUE,web,,best-selling,,Safety Barriers,Safety Barriers | Safety Equipment | Machinist Industrial Supply,"Guards, barriers, and protective enclosures"
emergency-equipment,Emergency Equipment,"<p>First aid, eyewash stations, and emergency response</p>",TRUE,web,,best-selling,,Emergency Equipment,Emergency Equipment | Safety Equipment | Machinist Industrial Supply,"First aid, eyewash stations, and emergency response"